Title,Author,URL
On Xi Jinping: How Xi's Marxist Nationalism is Shaping China and the World,Kevin Rudd,<![CDATA[https://www.goodreads.com/review/show/7204409801?utm_medium=api&utm_source=rss]]>
The Red Emperor,Michael Sheridan,<![CDATA[https://www.goodreads.com/review/show/7204408479?utm_medium=api&utm_source=rss]]>
Zero Sum: The Arc of International Business in Russia (New Perspectives on Eastern Europe and Eurasia),Charles Hecker,<![CDATA[https://www.goodreads.com/review/show/7046444734?utm_medium=api&utm_source=rss]]>
There Are Rivers in the Sky,Elif Shafak,<![CDATA[https://www.goodreads.com/review/show/7029259294?utm_medium=api&utm_source=rss]]>
Rosarita,Anita Desai,<![CDATA[https://www.goodreads.com/review/show/7029251865?utm_medium=api&utm_source=rss]]>
Long Island Compromise,Taffy Brodesser-Akner,<![CDATA[https://www.goodreads.com/review/show/7029250673?utm_medium=api&utm_source=rss]]>
Who Will Defend Europe?: An Awakened Russia and a Sleeping Continent,Keir Giles,<![CDATA[https://www.goodreads.com/review/show/7029242692?utm_medium=api&utm_source=rss]]>
Das Zeitalter der Unschärfe,Tobias Hürter,<![CDATA[https://www.goodreads.com/review/show/7020025423?utm_medium=api&utm_source=rss]]>
Beast in the Shadows,Edogawa Rampo,<![CDATA[https://www.goodreads.com/review/show/3359342856?utm_medium=api&utm_source=rss]]>
Beautiful People,Amanda Jennings,<![CDATA[https://www.goodreads.com/review/show/6992175245?utm_medium=api&utm_source=rss]]>
"The Fallout (Children's House, #6)",Yrsa Sigurdardottir,<![CDATA[https://www.goodreads.com/review/show/4806976065?utm_medium=api&utm_source=rss]]>
